Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1844624,2019-12-29,2019-12-29,,"American Horror Story","American Horror Story",https://www.imdb.com/title/tt1844624/,TV Series,7.9,60,2011,"Drama, Horror, Sci-Fi, Thriller",363271,2011-10-05,,,
2,tt6548228,2019-12-29,2019-12-29,,"Castle Rock","Castle Rock",https://www.imdb.com/title/tt6548228/,TV Series,7.5,60,2018,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",58422,2018-07-25,,,
3,tt6324278,2019-12-29,2019-12-29,,"Abominable","Abominable",https://www.imdb.com/title/tt6324278/,Movie,7.0,97,2019,"Animation, Adventure, Comedy, Family, Fantasy",47209,2019-09-27,"Jill Culton, Todd Wilderman",,
4,tt2261227,2019-12-29,2019-12-29,,"Altered Carbon","Altered Carbon",https://www.imdb.com/title/tt2261227/,TV Series,7.9,60,2018,"Action, Adventure, Drama, Sci-Fi",203553,2018-02-02,,,
5,tt0149460,2019-12-29,2019-12-29,,"Futurama","Futurama",https://www.imdb.com/title/tt0149460/,TV Series,8.5,22,1999,"Animation, Adventure, Comedy, Sci-Fi",279651,1999-03-28,,,
6,tt1179933,2019-12-29,2019-12-29,,"10 Cloverfield Lane","10 Cloverfield Lane",https://www.imdb.com/title/tt1179933/,Movie,7.2,103,2016,"Drama, Horror, Sci-Fi, Thriller",387672,2016-03-11,"Dan Trachtenberg",,
7,tt3741834,2019-12-29,2019-12-29,,"Lion","Lion",https://www.imdb.com/title/tt3741834/,Movie,8.0,118,2016,"Biography, Drama",268110,2017-01-06,"Garth Davis",,
8,tt2069441,2020-01-05,2020-01-05,,"The Future Diary","Mirai nikki",https://www.imdb.com/title/tt2069441/,TV Series,7.4,25,2011,"Animation, Action, Comedy, Drama, Horror, Mystery, Romance, Thriller",23926,2017-05-11,,,
9,tt0480489,2020-01-05,2020-01-05,,"Elfen Lied","Erufen rîto",https://www.imdb.com/title/tt0480489/,TV Series,7.8,24,2004,"Animation, Action, Drama, Horror, Mystery, Sci-Fi, Thriller",41931,2004-07-24,,,
10,tt3225270,2020-01-05,2020-01-05,,"Noragami","Noragami",https://www.imdb.com/title/tt3225270/,TV Series,7.8,24,2014,"Animation, Action, Adventure, Comedy, Fantasy",23313,2014-01-05,,,
11,tt1639109,2020-01-05,2020-01-05,,"Angel Beats!","Angel Beats!",https://www.imdb.com/title/tt1639109/,TV Series,7.6,25,2010,"Animation, Action, Comedy, Drama, Fantasy",18310,2010-04-02,,,
12,tt3431758,2020-01-05,2020-01-05,,"No Game, No Life","No Game, No Life",https://www.imdb.com/title/tt3431758/,TV Series,7.5,,2014,"Animation, Adventure, Comedy, Fantasy",22475,2014-04-09,,,
13,tt4574736,2020-01-05,2020-01-05,,"Charlotte","Charlotte",https://www.imdb.com/title/tt4574736/,TV Mini Series,7.5,24,2015,"Animation, Comedy, Drama, Fantasy",12063,2015-07-05,,,
14,tt5491994,2020-01-16,2020-01-16,,"Planet Earth II","Planet Earth II",https://www.imdb.com/title/tt5491994/,TV Mini Series,9.4,50,2016,"Documentary, Family",176236,2017-02-18,,,
15,tt0185906,2020-01-16,2020-01-16,,"Band of Brothers","Band of Brothers",https://www.imdb.com/title/tt0185906/,TV Mini Series,9.4,60,2001,"Action, Drama, History, War",600705,2001-09-09,,,
16,tt0071075,2020-01-16,2020-01-16,,"The World at War","The World at War",https://www.imdb.com/title/tt0071075/,TV Series,9.2,52,1973,"Documentary, History, War",38084,1973-10-31,,,
17,tt1877514,2020-01-16,2020-01-16,,"The Vietnam War","The Vietnam War",https://www.imdb.com/title/tt1877514/,TV Mini Series,9.1,100,2017,"Documentary, History, War",37153,2017-09-17,,,
18,tt2356777,2020-01-16,2020-01-16,,"True Detective","True Detective",https://www.imdb.com/title/tt2356777/,TV Series,8.8,60,2014,"Crime, Drama, Mystery, Thriller",764312,2014-01-12,,,
19,tt2802850,2020-01-16,2020-01-16,,"Fargo","Fargo",https://www.imdb.com/title/tt2802850/,TV Series,8.8,60,2014,"Crime, Drama, Thriller",472751,2014-04-15,,,
20,tt3718778,2020-01-16,2020-01-16,,"Over the Garden Wall","Over the Garden Wall",https://www.imdb.com/title/tt3718778/,TV Mini Series,8.7,11,2014,"Animation, Short, Adventure, Comedy, Drama, Family, Fantasy, Horror, Music, Mystery",91219,2014-11-03,,,
21,tt0066763,2020-01-24,2020-01-24,,"Anand","Anand",https://www.imdb.com/title/tt0066763/,Movie,8.1,122,1971,"Drama, Musical",37761,1971-03-12,"Hrishikesh Mukherjee",,
22,tt0400234,2020-01-24,2020-01-24,,"Black Friday","Black Friday",https://www.imdb.com/title/tt0400234/,Movie,8.4,143,2004,"Action, Crime, Drama, History",26356,2007-02-09,"Anurag Kashyap",,
23,tt6148156,2020-01-24,2020-01-24,,"Vikram Vedha","Vikram Vedha",https://www.imdb.com/title/tt6148156/,Movie,8.2,147,2017,"Action, Crime, Drama, Mystery, Thriller",55853,2017-07-21,"Gayatri, Pushkar",,
24,tt8354112,2020-01-25,2020-01-25,,"Mosul","Mosul",https://www.imdb.com/title/tt8354112/,Movie,7.5,86,2019,"Documentary, War",7262,2019-05-14,"Daniel Gabriel",,
25,tt2321549,2020-01-31,2020-01-31,,"The Babadook","The Babadook",https://www.imdb.com/title/tt2321549/,Movie,6.8,94,2014,"Drama, Horror, Mystery",271890,2014-11-28,"Jennifer Kent",,
26,tt8332922,2020-02-01,2020-02-01,,"A Quiet Place Part II","A Quiet Place Part II",https://www.imdb.com/title/tt8332922/,Movie,7.2,97,2020,"Drama, Horror, Sci-Fi, Thriller",327045,2021-05-28,"John Krasinski",,
27,tt6439020,2020-02-01,2020-02-01,,"The Personal History of David Copperfield","The Personal History of David Copperfield",https://www.imdb.com/title/tt6439020/,Movie,6.4,119,2019,"Comedy, Drama",24114,2020-08-28,"Armando Iannucci",,
28,tt10530900,2020-02-02,2020-02-02,,"Gullak","Gullak",https://www.imdb.com/title/tt10530900/,TV Series,9.1,24,2019,"Comedy, Drama, Family",31588,2019-06-27,,,
29,tt0475784,2020-05-02,2020-05-02,,"Westworld","Westworld",https://www.imdb.com/title/tt0475784/,TV Series,8.4,60,2016,"Drama, Mystery, Sci-Fi",559892,2016-10-02,,,
30,tt9054364,2020-05-02,2020-05-02,,"That Time I Got Reincarnated as a Slime","Tensei Shitara Suraimu Datta Ken",https://www.imdb.com/title/tt9054364/,TV Series,8.0,25,2018,"Animation, Action, Adventure, Comedy, Fantasy",26302,2018-09-30,,,
31,tt9584920,2020-05-02,2020-05-02,,"The Quintessential Quintuplets","Go-Toubun no Hanayome",https://www.imdb.com/title/tt9584920/,TV Series,7.7,24,2019,"Animation, Comedy, Drama, Romance",12075,2019-01-11,,,
32,tt2122656,2020-05-02,2020-05-02,,"Guilty Crown","Guilty Crown",https://www.imdb.com/title/tt2122656/,TV Series,6.9,23,2011,"Animation, Action, Crime, Drama, Romance, Sci-Fi, Thriller",6575,2011-10-13,,,
33,tt9817980,2020-05-02,2020-05-02,,"Domestic Girlfriend","Domestic na Kanojo",https://www.imdb.com/title/tt9817980/,TV Series,6.7,25,2019,"Animation, Drama, Romance",5994,2019-01-12,,,
34,tt8690728,2020-05-02,2020-05-02,,"Goblin Slayer","Goblin Slayer",https://www.imdb.com/title/tt8690728/,TV Series,7.3,30,2018,"Animation, Action, Adventure, Fantasy, Horror",13488,2018-10-06,,,
35,tt7078180,2020-05-02,2020-05-02,,"Violet Evergarden","Violet Evergarden",https://www.imdb.com/title/tt7078180/,TV Mini Series,8.4,24,2018,"Animation, Drama, Fantasy, Romance, Sci-Fi",42487,2020-08-22,,,
36,tt1913273,2020-05-31,2020-05-31,,"Anohana: The Flower We Saw That Day","Ano hi mita hana no namae o bokutachi wa mada shiranai.",https://www.imdb.com/title/tt1913273/,TV Mini Series,8.1,23,2011,"Animation, Adventure, Drama, Fantasy, Mystery, Romance",18818,2011-04-14,,,
37,tt8788458,2020-05-31,2020-05-31,,"The Promised Neverland","Yakusoku no Neverland",https://www.imdb.com/title/tt8788458/,TV Series,8.1,23,2019,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",59574,2019-04-14,,,
38,tt2388715,2020-05-31,2020-05-31,,"Oculus","Oculus",https://www.imdb.com/title/tt2388715/,Movie,6.6,104,2013,"Horror, Mystery, Thriller",150832,2014-04-11,"Mike Flanagan",,
39,tt9529546,2020-05-31,2020-05-31,,"The Rising of the Shield Hero","Tate no Yuusha no Nariagari",https://www.imdb.com/title/tt9529546/,TV Series,7.6,24,2019,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",24170,2019-01-09,,,
40,tt7386590,2020-05-31,2020-05-31,,"Cross Road","Cross Road",https://www.imdb.com/title/tt7386590/,Short,6.8,2,2014,"Animation, Short",1544,2014,"Makoto Shinkai",,
41,tt6217306,2020-05-31,2020-05-31,,"Apostle","Apostle",https://www.imdb.com/title/tt6217306/,Movie,6.3,130,2018,"Drama, Fantasy, Horror, Mystery, Thriller",66915,2018-10-12,"Gareth Evans",,
42,tt1279024,2020-05-31,2020-05-31,,"Toradora!","Toradora!",https://www.imdb.com/title/tt1279024/,TV Series,7.9,24,2008,"Animation, Comedy, Drama, Romance",23721,2008-09-30,,,
43,tt0370754,2020-05-31,2020-05-31,,"Voices of a Distant Star","Hoshi no koe",https://www.imdb.com/title/tt0370754/,Short,7.0,25,2002,"Animation, Short, Drama, Romance, Sci-Fi",10223,2002-02-02,"Makoto Shinkai",,
44,tt1985192,2020-06-20,2020-06-20,,"Rotting Hill","Rotting Hill",https://www.imdb.com/title/tt1985192/,Short,6.1,5,2012,"Short, Comedy, Horror, Romance",130,2012-10-06,"James Cunningham",,
45,tt5109784,2020-06-24,2020-06-24,,"Mother!","Mother!",https://www.imdb.com/title/tt5109784/,Movie,6.6,121,2017,"Drama, Horror, Mystery",269919,2017-09-15,"Darren Aronofsky",,
46,tt4954522,2020-06-25,2020-06-25,,"Raw","Grave",https://www.imdb.com/title/tt4954522/,Movie,6.9,99,2016,"Drama, Horror",97256,2017-03-15,"Julia Ducournau",,
47,tt3235888,2020-06-25,2020-06-25,,"It Follows","It Follows",https://www.imdb.com/title/tt3235888/,Movie,6.8,100,2014,"Horror, Mystery, Thriller",302444,2015-03-13,"David Robert Mitchell",,
48,tt4263482,2020-06-25,2020-06-25,,"The Witch","The VVitch: A New-England Folktale",https://www.imdb.com/title/tt4263482/,Movie,7.0,92,2015,"Drama, Fantasy, Horror, Mystery, Thriller",357225,2016-02-19,"Robert Eggers",,
49,tt0482606,2020-06-25,2020-06-25,,"The Strangers","The Strangers",https://www.imdb.com/title/tt0482606/,Movie,6.1,86,2008,"Horror, Mystery, Thriller",158460,2008-05-30,"Bryan Bertino",,
50,tt1127180,2020-06-25,2020-06-25,,"Drag Me to Hell","Drag Me to Hell",https://www.imdb.com/title/tt1127180/,Movie,6.6,99,2009,"Horror",232488,2009-05-29,"Sam Raimi",,
51,tt6335734,2020-06-26,2020-06-26,,"The Night Is Short, Walk on Girl","Yoru wa Mijikashi Aruke yo Otome",https://www.imdb.com/title/tt6335734/,Movie,7.5,92,2017,"Animation, Adventure, Comedy, Family, Fantasy, Romance",7486,2017-04-07,"Masaaki Yuasa",,
52,tt8076344,2020-06-26,2020-06-26,,"Penguin Highway","Pengin haiwei",https://www.imdb.com/title/tt8076344/,Movie,7.1,117,2018,"Animation, Adventure, Family, Fantasy, Mystery",4689,2019-04-12,"Hiroyasu Ishida",,
53,tt7339826,2020-06-26,2020-06-26,,"Maquia: When the Promised Flower Blooms","Sayonara no asa ni yakusoku no hana o kazarô",https://www.imdb.com/title/tt7339826/,Movie,7.4,115,2018,"Animation, Adventure, Drama, Fantasy, Romance",11136,2018-02-24,"Mari Okada, Toshiya Shinohara",,
54,tt1853614,2020-06-26,2020-06-26,,"A Letter to Momo","Momo e no tegami",https://www.imdb.com/title/tt1853614/,Movie,7.2,120,2011,"Animation, Adventure, Comedy, Drama, Family, Fantasy",8865,2012-04-21,"Hiroyuki Okiura",,
55,tt4489416,2020-06-26,2020-06-26,,"The Anthem of the Heart","Kokoro ga sakebitagatterunda.",https://www.imdb.com/title/tt4489416/,Movie,7.3,119,2015,"Animation, Drama, Fantasy, Music",7108,2015-09-19,"Tatsuyuki Nagai",,
56,tt7236034,2020-06-26,2020-06-26,,"I Want to Eat Your Pancreas","Kimi no suizô o tabetai",https://www.imdb.com/title/tt7236034/,Movie,8.1,109,2018,"Animation, Drama, Romance",37510,2018-09-01,"Shin'ichirô Ushijima",,
57,tt9850064,2020-06-26,2020-06-26,,"Children of the Sea","Kaijû no kodomo",https://www.imdb.com/title/tt9850064/,Movie,6.5,111,2019,"Animation, Adventure, Fantasy, Sci-Fi",4463,2019-12-05,"Ayumu Watanabe",,
58,tt9193612,2020-06-26,2020-06-26,,"Ride Your Wave","Kimi to, nami ni noretara",https://www.imdb.com/title/tt9193612/,Movie,6.9,95,2019,"Animation, Comedy, Drama, Family, Fantasy, Romance",5467,2020-02-19,"Masaaki Yuasa",,
59,tt1474276,2020-06-26,2020-06-26,,"Summer Wars","Samâ wôzu",https://www.imdb.com/title/tt1474276/,Movie,7.4,114,2009,"Animation, Action, Adventure, Comedy, Drama, Romance, Sci-Fi",34388,2009-08-01,"Mamoru Hosoda",,
